IFIX - Carteira do Dia 17/07/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
CACR11;CARTESIA FII;CI;3.823.767;0,342;
BPFF11;FII ABSOLUTO;CI;4.492.326;0,270;
AFHI11;FII AFHI CRI;CI  ER;3.019.453;0,250;
ALZR11;FII ALIANZA;CI;9.272.906;0,927;
RZAT11;FII ARCTIUM;CI  ER;3.708.168;0,304;
ARRI11;FII ATRIO;CI;13.056.237;0,098;
AIEC11;FII AUTONOMY;CI;4.824.987;0,291;
BARI11;FII BARIGUI;CI;4.634.191;0,337;
BBPO11;FII BB PRGII;CI;15.919.690;1,317;
BCFF11;FII BC FFII;CI  ER;25.186.378;1,535;
BRCR11;FII BC FUND;CI  ER;26.638.202;1,528;
BCIA11;FII BCIA;CI;3.719.038;0,325;
BCRI11;FII BEES CRI;CI;6.257.873;0,411;
BLMR11;FII BLUE FOF;CI  ER;25.541.630;0,159;
BLMG11;FII BLUE LOG;CI  ER;3.810.588;0,221;
BRCO11;FII BRESCO;CI;14.778.781;1,479;
BTAL11;FII BTG AGRO;CI;5.982.736;0,489;
BTCI11;FII BTG CRI;CI  ER;99.521.172;0,802;
BTRA11;FII BTG TAGR;CI;3.364.559;0,239;
BTLG11;FII BTLG;CI  ER;21.066.892;1,846;
CPFF11;FII CAP REIT;CI;2.553.074;0,163;
CPTS11;FII CAPI SEC;CI  ER;31.782.814;2,357;
HGCR11;FII CSHG CRI;CI;15.418.106;1,368;
HGFF11;FII CSHG FOF;CI;2.863.597;0,208;
HGLG11;FII CSHG LOG;CI;33.292.740;4,663;
HGRU11;FII CSHG URB;CI;18.406.458;2,030;
CYCR11;FII CYRELA;CI;16.315.840;0,124;
CARE11;FII DEA CARE;CI;35.769.919;0,060;
DEVA11;FII DEVANT;CI  ER;14.044.908;0,714;
VRTA11;FII FATOR VE;CI;15.592.424;1,218;
GTWR11;FII G TOWERS;CI;12.000.000;0,845;
GGRC11;FII GGRCOVEP;CI;8.134.118;0,840;
GALG11;FII GUARDIAN;CI;57.485.300;0,446;
HABT11;FII HABIT II;CI;8.126.783;0,661;
HCTR11;FII HECTARE;CI  ER;22.084.202;1,094;
HGBS11;FII HEDGEBS;CI;10.000.000;1,889;
HGRE11;FII HG REAL;CI;11.817.767;1,424;
HSAF11;FII HSI CRI;CI;2.526.360;0,195;
HSLG11;FII HSI LOG;CI;12.660.067;1,021;
HSML11;FII HSI MALL;CI;15.780.613;1,234;
HFOF11;FII HTOPFOF3;CI;23.012.000;1,555;
IRDM11;FII IRIDIUM;CI  ER;36.433.827;2,721;
JPPA11;FII JPPA CRI;CI;904.050;0,075;
JSAF11;FII JS A FIN;CI;1.573.047;0,131;
JSRE11;FII JS REAL;CI;20.767.328;1,431;
KISU11;FII KILIMA;CI;44.196.050;0,329;
KNRI11;FII KINEA;CI;24.157.121;3,275;
KCRE11;FII KINEA CR;CI;3.600.000;0,291;
KNHY11;FII KINEA HY;CI;18.490.843;1,542;
KNIP11;FII KINEA IP;CI;80.078.186;6,194;
KNCR11;FII KINEA RI;CI;57.097.087;4,796;
KNSC11;FII KINEA SC;CI;13.275.794;0,992;
KFOF11;FII KINEAFOF;CI;4.533.315;0,365;
LGCP11;FII LGCP INT;CI  ES;3.370.360;0,244;
MALL11;FII MALLS BP;CI;9.124.659;0,904;
MCCI11;FII MAUA;CI  ER;16.960.024;1,337;
MCHF11;FII MAUA HF;CI  ER;32.307.646;0,257;
MXRF11;FII MAXI REN;CI;275.741.453;2,493;
MFII11;FII MERITO I;CI;4.156.221;0,332;
MGFF11;FII MOGNO;CI  ER;9.050.620;0,515;
MORC11;FII MORE CRI;CI;1.508.706;0,121;
MORE11;FII MORE RE;CI  ER;2.319.115;0,146;
NCHB11;FII NCH BR;CI  ER;1.697.932;0,124;
OUJP11;FII OURI JPP;CI;3.252.384;0,277;
PATL11;FII PATR LOG;CI;4.991.535;0,311;
PLCR11;FII PLURAL R;CI;2.109.169;0,159;
PORD11;FII POLO CRI;CI;3.728.375;0,283;
QAGR11;FII QUASAR A;CI;5.040.000;0,207;
RBRL11;FII RBR LOG;CI  ER;6.687.035;0,534;
RBRY11;FII RBR PCRI;CI  ER;5.546.804;0,470;
RBRP11;FII RBR PROP;CI  ER;12.179.186;0,635;
RBRF11;FII RBRALPHA;CI  ER;13.680.770;0,939;
RBRR11;FII RBRHGRAD;CI  ER;13.438.908;1,013;
RECR11;FII REC RECE;CI  ER;26.441.650;1,995;
RECT11;FII REC REND;CI  ER;8.543.493;0,377;
RBFF11;FII RIOB FF;CI;3.749.215;0,191;
RCRB11;FII RIOB RC;CI  ER;3.690.695;0,470;
RBVA11;FII RIOB VA;CI;11.588.199;1,075;
RZAK11;FII RIZA AKN;CI  ER;8.807.885;0,701;
RZTR11;FII RIZA TX;CI;11.048.018;0,886;
SADI11;FII SANT PAP;CI;1.548.591;0,111;
SARE11;FII SANT REN;CI;9.234.329;0,494;
TRBL11;FII SDI LOG;CI;6.395.050;0,538;
SNCI11;FII SUNO CRI;CI  ER;4.200.000;0,354;
SNFF11;FII SUNOFOFI;CI  ER;2.830.000;0,210;
TEPP11;FII TEL PROP;CI;4.221.967;0,313;
TGAR11;FII TG ATIVO;CI;13.784.500;1,422;
TORD11;FII TORDE EI;CI;35.051.354;0,108;
TRXF11;FII TRX REAL;CI;11.992.687;1,136;
URPR11;FII URCA REN;CI;11.675.248;0,982;
VGHF11;FII VALOR HE;CI;72.889.247;0,596;
VGIP11;FII VALORAIP;CI  ER;11.787.247;0,915;
VGIR11;FII VALREIII;CI  ER;103.220.707;0,843;
CVBI11;FII VBI CRI;CI  ER;11.010.228;0,865;
LVBI11;FII VBI LOG;CI;11.775.177;1,149;
PVBI11;FII VBI PRI;CI  ES;12.142.208;1,041;
VCJR11;FII VECTIS;CI;14.723.970;1,113;
VSLH11;FII VERS CRI;CI  ER;29.864.091;0,121;
VCRI11;FII VINCI CR;CI;17.773.297;0,129;
VIUR11;FII VINCI IU;CI;26.946.220;0,196;
VILG11;FII VINCI LG;CI;14.997.396;1,371;
VINO11;FII VINCI OF;CI;16.565.259;0,646;
VISC11;FII VINCI SC;CI;18.591.052;1,895;
VTLT11;FII VOT LOG;CI;2.115.000;0,178;
WHGR11;FII WHG REAL;CI;25.089.531;0,201;
XPCI11;FII XP CRED;CI;8.701.551;0,641;
XPIN11;FII XP INDL;CI;7.150.422;0,508;
XPLG11;FII XP LOG;CI;27.101.061;2,623;
XPML11;FII XP MALLS;CI  ES;27.583.897;2,440;
XPPR11;FII XP PROP;CI;7.316.171;0,143;
XPSF11;FII XP SELEC;CI;43.302.140;0,301;
Quantidade Teórica Total;;;2.085.732.967;100,000
Redutor;;;37.000.691,17570500
