,date,CACR11_price,BPFF11_price,AFHI11_price,ALZR11_price,RZAT11_price,ARRI11_price,AIEC11_price,BARI11_price,BBPO11_price,BCFF11_price,BRCR11_price,BCIA11_price,BCRI11_price,BLMR11_price,BLMG11_price,BRCO11_price,BTAL11_price,BTCI11_price,BTRA11_price,BTLG11_price,CPFF11_price,CPTS11_price,HGCR11_price,HGFF11_price,HGLG11_price,HGRU11_price,CYCR11_price,CARE11_price,DEVA11_price,VRTA11_price,GTWR11_price,GGRC11_price,GALG11_price,HABT11_price,HCTR11_price,HGBS11_price,HGRE11_price,HSAF11_price,HSLG11_price,HSML11_price,HFOF11_price,IRDM11_price,JPPA11_price,JSAF11_price,JSRE11_price,KISU11_price,KNRI11_price,KCRE11_price,KNHY11_price,KNIP11_price,KNCR11_price,KNSC11_price,KFOF11_price,LGCP11_price,MALL11_price,MCCI11_price,MCHF11_price,MXRF11_price,MFII11_price,MGFF11_price,MORC11_price,MORE11_price,NCHB11_price,OUJP11_price,PATL11_price,PLCR11_price,PORD11_price,QAGR11_price,RBRL11_price,RBRY11_price,RBRP11_price,RBRF11_price,RBRR11_price,RECR11_price,RECT11_price,RBFF11_price,RCRB11_price,RBVA11_price,RZAK11_price,RZTR11_price,SADI11_price,SARE11_price,SNCI11_price,SNFF11_price,TEPP11_price,TGAR11_price,TORD11_price,TRXF11_price,URPR11_price,VGHF11_price,VGIP11_price,VGIR11_price,CVBI11_price,LVBI11_price,PVBI11_price,VCJR11_price,VSLH11_price,VCRI11_price,VIUR11_price,VILG11_price,VINO11_price,VISC11_price,VTLT11_price,WHGR11_price,XPCI11_price,XPIN11_price,XPLG11_price,XPML11_price,XPPR11_price,XPSF11_price,IFIX_price
0,2018-07-16,,90.2,,94.0,,,,,127.24,75.0,88.9,108.5,103.35,,,,,106.0,,70.0,,99.01,107.0,,125.45,,,9.4,,107.0,,120.0,,,,195.5,122.5,,,,89.55,88.51,,,101.51,,148.5,,,106.81,106.25,,,,98.13,,,10.14,117.95,91.0,,,,101.75,,,97.0,,,,,95.85,95.93,100.0,,,154.9,103.26,,,,,,,,,,,,,,,,,,,,,,,,102.19,,,,,96.3,99.48,,,6260.1010400000005
1,2018-07-17,,89.5,,94.5,,,,,128.0,75.27,91.49,108.5,104.59,,,,,105.99,,69.6,,99.45,106.9,,127.79,,,9.35,,107.5,,120.06,,,,196.5,122.5,,,,90.3,91.75,,,101.5,,148.3,,,106.9,106.15,,,,98.33,,,10.15,119.0,92.62,,,,101.8,,,98.8,,,,,97.01,96.17,100.5,,,156.0,104.45,,,,,,,,,,,,,,,,,,,,,,,,102.14,,,,,95.53,99.35,,,6292.865919999999
2,2018-07-18,,92.8,,92.51,,,,,127.15,75.5,90.45,,105.4,,,,,107.6,,69.4,,99.25,106.98,,125.9,,,9.05,,106.97,,120.0,,,,196.0,121.4,,,,89.99,90.98,,,101.66,,148.7,,,106.81,106.59,,,,98.03,,,10.11,,92.5,,,,101.8,,,,,,,,97.89,95.34,100.45,,,158.0,102.78,,,,,,,,,,,,,,,,,,,,,,,,102.5,,,,,95.2,99.0,,,6173.755770000001
3,2018-07-19,,92.87,,92.1,,,,,127.5,78.5,90.25,109.5,104.99,,,,,108.9,,68.8,,99.1,106.9,,126.0,,,9.5,,107.0,,119.8,,,,196.01,120.99,,,,90.5,88.27,,,103.2,,148.17,,,107.3,106.7,,,,97.84,,,10.08,,93.26,,,,101.6,,,97.8,,,,,97.91,96.33,100.25,,,157.89,102.23,,,,,,,,,,,,,,,,,,,,,,,,102.38,,,,,95.2,97.06,,,6233.07814
4,2018-07-20,,91.3,,92.65,,,,,128.8,75.71,89.85,109.65,105.0,,,,,108.0,,69.0,,99.05,107.0,,125.8,,,9.3,,107.0,,120.76,,,,197.98,120.55,,,,90.55,88.51,,,102.42,,149.44,,,107.2,106.9,,,,98.32,,,10.06,,91.4,,,,102.0,,,98.0,,,,,97.06,94.66,99.65,,,157.0,102.37,,,,,,,,,,,,,,,,,,,,,,,,102.36,,,,,95.0,98.22,,,6234.678580000001
5,2018-07-23,,91.11,,92.98,,,,,128.4,76.18,89.98,109.65,104.62,,,,,109.93,,69.0,,98.94,107.8,,125.03,,,9.1,,106.99,,120.7,,,,195.5,120.55,,,,93.0,90.27,,,102.3,,149.5,,,107.39,106.66,,,,98.33,,,10.02,,92.64,,,,102.0,,,97.0,,,,,97.8,95.07,99.66,,,159.7,101.97,,,,,,,,,,,,,,,,,,,,,,,,102.71,,,,,95.5,98.22,,,6242.0616
6,2018-07-24,,91.8,,93.5,,,,,128.99,76.98,90.12,110.0,104.69,,,,,109.5,,68.5,,99.44,107.88,,125.47,,,8.8,,107.0,,120.95,,,,195.5,121.5,,,,93.5,90.36,,,102.25,,149.2,,,106.85,106.2,,,,98.32,,,10.0,,93.43,,,,102.21,,,,,,,,98.88,95.5,99.8,,,160.99,102.27,,,,,,,,,,,,,,,,,,,,,,,,102.75,,,,,94.02,98.95,,,6216.7255
7,2018-07-25,,91.0,,93.5,,,,,132.39,77.0,89.8,114.0,105.0,,,,,108.44,,68.4,,99.58,113.0,,125.71,,,8.6,,106.7,,121.0,,,,196.25,120.62,,,,93.5,90.36,,,102.3,,148.51,,,106.6,106.4,,,,98.33,,,10.06,,93.5,,,,99.95,,,98.48,,,,,97.2,94.01,99.81,,,161.0,101.28,,,,,,,,,,,,,,,,,,,,,,,,102.45,,,,,94.3,98.9,,,6249.781660000001
8,2018-07-26,,90.17,,92.8,,,,,130.66,78.0,89.78,113.0,105.0,,,,,108.7,,67.93,,99.0,110.01,,125.41,,,8.75,,106.34,,121.0,,,,195.9,120.97,,,,93.35,88.54,,,102.49,,148.49,,,106.0,106.01,,,,98.73,,,10.0,,93.99,,,,100.0,,,98.3,,,,,98.1,93.84,99.81,,,161.0,100.78,,,,,,,,,,,,,,,,,,,,,,,,102.3,,,,,94.8,96.8,,,6225.602080000001
9,2018-07-27,,89.65,,93.99,,,,,131.0,77.1,89.08,103.5,105.0,,,,,109.44,,68.5,,99.2,111.8,,125.5,110.0,,8.4,,106.36,,121.4,,,,196.1,121.75,,,,93.44,88.54,,,103.5,,147.95,,,105.84,106.3,,,,98.73,,,10.07,,94.4,,,,100.0,,,97.5,,,,,99.15,93.4,100.05,,,161.2,100.78,,,,,,,,,,,,,,,,,,,,,,,,102.8,,,,,95.23,98.0,,,6458.0796
10,2018-07-30,,90.16,,94.0,,,,,130.99,76.17,88.8,107.0,105.0,,,,,110.0,,70.11,,99.0,112.05,,125.77,105.1,,8.0,,106.29,,121.5,,,,198.77,120.49,,,,93.5,86.81,,,102.7,,147.9,,,106.0,106.1,,,,99.03,,,10.08,,94.4,,,,100.49,,,98.0,,,,,100.0,95.0,100.01,,,163.5,101.23,,,,,,,,,,,,,,,,,,,,,,,,102.55,,,,,96.0,97.15,,,6453.38191
11,2018-07-31,,92.6,,94.0,,,,,131.0,76.49,89.2,111.0,105.0,,,,,110.99,,69.95,,98.95,111.67,,125.85,107.0,,10.0,,106.43,,121.5,,,,198.99,121.75,,,,90.25,88.41,,,103.53,,148.13,,,105.97,106.09,,,,98.88,,,10.07,,95.0,,,,100.48,,,98.0,,,,,99.5,96.0,100.1,,,164.19,101.28,,,,,,,,,,,,,,10.0,,,,,,,,,,102.5,,,,,97.0,96.55,,,6474.79569
12,2018-08-01,,91.1,,92.3,,,,,128.5,77.65,89.0,111.99,104.4,,,,,110.79,,70.0,,99.0,109.0,,126.96,,,8.85,,105.98,,122.18,,,,198.5,121.26,,,,90.25,87.25,,,104.3,,147.4,,,105.0,105.5,,,,99.23,,,10.12,,95.0,,,,99.3,,,98.2,,,,,100.7,95.49,99.5,,,159.12,100.65,,,,,,,,,,,,,,,,,,,,,,,,101.87,,,,,94.5,97.74,,,6223.729289999999
13,2018-08-02,,91.5,,92.3,,,,,128.55,77.48,90.18,,104.2,,,,,111.25,,70.11,,99.0,108.01,,126.58,105.0,,9.3,,105.89,,121.3,,,,200.0,122.75,,,,90.4,88.03,,,102.9,,147.0,,,105.78,105.12,,,,98.55,,,10.12,,94.99,,,,99.0,,,97.3,,,,,100.8,96.5,99.5,,,157.6,100.78,,,,,,,,,,,,,,,,,,,,,,,,101.4,,,,,94.0,96.3,,,6399.61547
14,2018-08-03,,91.0,,92.29,,,,,128.95,79.0,90.99,108.0,104.2,,,,,111.18,,70.05,,98.65,108.0,,126.74,105.0,,8.6,,105.68,,122.4,,,,199.99,124.25,,,,89.99,88.51,,,102.6,,146.99,,,105.35,105.0,,,,98.5,,,10.11,,94.0,,,,98.9,,,98.1,,,,,100.79,96.5,99.6,,,162.39,100.58,,,,,,,,,,,,,,10.0,,,,,,,,,,101.15,,,,,94.5,96.61,,,6449.9895799999995
15,2018-08-06,,90.8,,94.0,,,,,128.95,78.8,90.25,111.99,104.2,,,,,111.19,,69.5,,98.7,108.0,,126.15,105.0,,8.75,,105.44,,123.65,,,,200.5,124.25,,,,91.0,89.9,,,102.91,,147.5,,,105.96,105.0,,,,98.13,,,10.12,,93.99,,,,98.72,,,97.51,,,,,100.0,95.33,100.1,,,160.97,100.39,,,,,,,,,,,,,,,,,,,,,,,,101.8,,,,,94.5,95.02,,,6447.30364
16,2018-08-07,,90.2,,93.8,,,,,129.03,80.0,90.97,117.0,103.98,,,,,111.23,,69.45,,99.0,108.2,,126.49,105.0,,8.5,,105.6,,123.61,,,,200.0,123.98,,,,89.81,89.25,,,102.5,,147.0,,,106.0,104.99,,,,98.23,,,10.05,,94.29,,,,98.64,,,98.0,,,,,99.01,95.5,99.9,,,158.99,100.48,,,,,,,,,,,,,,10.0,,,,,,,,,,101.63,,,,,93.5,93.45,,,6447.071980000001
17,2018-08-08,,91.45,,93.5,,,,,128.88,78.3,91.58,117.1,104.1,,,,,110.79,,69.97,,98.88,107.05,,126.49,105.0,,8.35,,105.4,,125.0,,,,200.0,124.5,,,,90.84,88.14,,,102.66,,147.18,,,105.8,105.5,,,,98.33,,,10.04,,92.99,,,,99.0,,,98.0,,,,,99.5,95.82,100.1,,,157.77,100.48,,,,,,,,,,,,,,10.0,,,,,,,,,,102.0,,,,,93.6,93.0,,,6446.32268
18,2018-08-09,,92.2,,93.7,,,,,128.6,79.0,90.25,114.99,104.0,,,,,108.0,,69.97,,99.0,106.0,,126.11,108.5,,9.0,,105.27,,126.39,,,,200.0,125.02,,,,90.1,90.22,,,102.5,,146.7,,,105.79,105.39,,,,98.23,,,10.05,,92.2,,,,98.53,,,97.95,,,,,99.5,96.99,100.8,,,158.27,100.28,,,,,,,,,,,,,,10.0,,,,,,,,,,101.46,,,,,94.5,94.04,,,6456.366459999999
19,2018-08-10,,92.3,,91.8,,,,,128.68,77.8,90.0,114.99,104.04,,,,,108.2,,68.88,,98.93,106.49,,126.0,104.5,,8.5,,105.44,,127.3,,,,199.5,123.5,,,,89.8,88.65,,,103.0,,143.99,,103.76,105.75,105.4,,,,98.98,,,10.05,,93.64,,,,98.3,,,97.8,,,,,99.48,95.63,101.0,,,159.0,99.5,,,,,,,,,,,,,,,,,,,,,,,,101.14,100.25,,,,91.02,92.7,,,6583.514040000001
20,2018-08-13,,92.0,,92.4,,,,,128.3,76.92,88.9,111.01,104.1,,,,,108.8,,69.0,,98.95,105.98,,126.24,102.6,,8.5,,105.64,,123.56,,,,200.0,123.65,,,,89.95,90.25,,,102.5,,142.8,,105.0,106.0,105.62,,,,98.83,,,10.11,,92.77,,,,97.63,,,97.0,,,,,97.5,96.5,101.05,,,158.35,99.36,,,,,,,,,,,,,,,,,,,,,,,,100.8,,,,,91.01,92.18,,,6557.288490000001
21,2018-08-14,,91.8,,92.74,,,,,129.0,78.0,90.0,111.4,104.39,,,,,108.5,,68.4,,98.9,106.0,,126.3,102.54,,8.6,,106.0,,124.02,,,,204.0,123.9,,,,90.0,90.63,,,103.75,,142.8,,104.98,105.99,105.77,,,,98.08,,,10.08,,92.13,,,,97.55,,,96.33,,,,,98.0,96.55,101.06,,,158.3,99.58,,,,,,,,,,,,,,,,,,,,,,,,101.9,100.3,,,,93.9,91.71,,,6598.875889999999
